Household,Ouside Temperature (F),Climate,Room Temperature (F),Hour,Predicted Consumption - Before Optimization(KWH),Predicted Consumption - After Optmization(KWH),Actual Consumption (KWH),Predicted Price ($/KWH),Actual Price ($/KWH),Cost to the Marketer - Predicted - Before Optimization($),Cost to the Marketer - Predicted - After Optimization($),Cost to the Marketer - Actual($),Cost to the Consumer - Predicted - Before Optimization($),Cost to the Consumer - Predicted - After Optimization($),Cost to the Consumer - Actual($)
House B,70,Cold,76,13,1.9512564617,1.23453,1.23319,0.0566,0.05893,0.1104411157,0.069874398,0.0726718867,0.1951256462,0.123453,0.123319
House B,62.1,Cold,72,23,1.9828347248,1.2928,1.3832,0.041392,0.03589,0.0820734949,0.0535115776,0.049643048,0.1982834725,0.12928,0.13832
House B,71.1,Cold,76,17,1.9899861937,1.28587,1.29007,0.534748,0.5295,1.0641411371,0.6876164108,0.683092065,0.1989986194,0.128587,0.129007
House B,99,Hot,76,21,2.0657958437,1.437,1.504,0.057951,0.04893,0.1197149349,0.083275587,0.07359072,0.2065795844,0.1437,0.1504
House B,60.1,Cold,76,21,2.1384959701,1.57895,1.49905,0.049864,0.04674,0.1066339631,0.0787327628,0.070065597,0.213849597,0.157895,0.149905
House B,86,Normal,76,15,1.9912980634,1.27961,1.28302,0.142243,0.13435,0.2832482104,0.1820155652,0.172373737,0.1991298063,0.127961,0.128302
House B,72,Cold,72,14,1.8896565693,1.04852,1.03096,0.05665,0.05819,0.1070490446,0.059398658,0.0599915624,0.1889656569,0.104852,0.103096
House B,72,Normal,72,24,1.9873572555,1.23034,1.13734,0.036362,0.02734,0.0722642845,0.0447376231,0.0310948756,0.1987357255,0.123034,0.113734
House B,64,Cold,76,22,2.0863579201,1.42018,1.42548,0.045292,0.03894,0.0944953229,0.0643227926,0.0555081912,0.208635792,0.142018,0.142548
House B,66.9,Cold,72,18,2.0223765154,1.27947,1.2651,0.137562,0.1276,0.2782021582,0.1760064521,0.16142676,0.2022376515,0.127947,0.12651
House B,73.9,Normal,76,23,1.9972077685,1.22651,1.30221,0.043842,0.04409,0.087561583,0.0537726514,0.0574144389,0.1997207769,0.122651,0.130221
House B,97,Hot,76,23,2.0399317513,1.2912,1.309,0.040821,0.03954,0.083272054,0.0527080752,0.05175786,0.2039931751,0.12912,0.1309
House B,106,Hot,76,15,2.0411745025,1.27934,1.276,0.119949,0.12441,0.2448368404,0.1534555537,0.15874716,0.2041174502,0.127934,0.1276
House B,61,Cold,76,20,2.189272249,1.55543,1.5519,0.037454,0.04315,0.0819970028,0.0582570752,0.066964485,0.2189272249,0.155543,0.15519
House B,71.1,Cold,72,17,1.9626177857,1.03848,1.03135,0.534748,0.5295,1.0495059357,0.555325103,0.546099825,0.1962617786,0.103848,0.103135
House B,87.1,Normal,72,17,1.9640839646,1.03792,1.0315,0.527543,0.53457,1.0361387469,0.5475474306,0.551408955,0.1964083965,0.103792,0.10315
House B,72,Normal,74,24,2.045152504,1.16497,1.23177,0.036362,0.02734,0.0743658354,0.0423606391,0.0336765918,0.2045152504,0.116497,0.123177
House B,66.9,Cold,76,18,2.1664067379,1.38116,1.37841,0.137562,0.1276,0.2980152437,0.1899951319,0.175885116,0.2166406738,0.138116,0.137841
House B,99,Hot,72,22,2.2687069949,1.5591,1.613,0.043248,0.04307,0.0981170401,0.0674279568,0.06947191,0.2268706995,0.15591,0.1613
House B,73,Cold,76,16,2.1093951782,1.23714,1.26372,0.424417,0.42027,0.8952631733,0.5250632474,0.5311036044,0.2109395178,0.123714,0.126372
House B,79,Normal,72,21,2.4007037715,1.81357,1.72887,0.037551,0.04682,0.0901488273,0.0681013671,0.0809456934,0.2400703771,0.181357,0.172887
House B,84.9,Normal,74,14,2.1549722647,1.32073,1.33778,0.06308,0.06782,0.1359356505,0.0833116484,0.0907282396,0.2154972265,0.132073,0.133778
House B,73.9,Normal,72,23,2.2258862401,1.45652,1.37782,0.043842,0.04409,0.0975873045,0.0638567498,0.0607480838,0.222588624,0.145652,0.137782
House B,72,Normal,76,24,2.0605846238,1.11537,1.16427,0.036362,0.02734,0.0749269781,0.0405570839,0.0318311418,0.2060584624,0.111537,0.116427
House B,73,Cold,76,15,2.1456733821,1.28291,1.28337,0.137071,0.14244,0.2941095962,0.1758497566,0.1828032228,0.2145673382,0.128291,0.128337
House B,57.2,Cold,74,24,2.1003838095,1.18834,1.22984,0.026455,0.0315,0.0555656537,0.0314375347,0.03873996,0.210038381,0.118834,0.122984
House B,99,Hot,74,21,2.3432181464,1.6714,1.771,0.057951,0.04893,0.1357918348,0.0968593014,0.08665503,0.2343218146,0.16714,0.1771
House B,86,Normal,74,15,2.1736089639,1.32936,1.31723,0.142243,0.13435,0.3091806598,0.1890921545,0.1769698505,0.2173608964,0.132936,0.131723
House C,82.9,Normal,74,13,2.4661173007,1.9084,1.90374,0.054117,0.05889,0.13345887,0.1032768828,0.1121112486,0.2466117301,0.19084,0.190374
House B,97,Hot,72,23,2.1807678052,1.3263,1.373,0.040821,0.03954,0.0890211226,0.0541408923,0.05428842,0.2180767805,0.13263,0.1373
House B,73,Cold,74,15,2.18291993,1.33058,1.31482,0.137071,0.14244,0.2992150177,0.1823839312,0.1872829608,0.218291993,0.133058,0.131482
House B,82.9,Normal,72,13,2.0372603202,1.03709,1.04542,0.054117,0.05889,0.1102504167,0.0561241995,0.0615647838,0.203726032,0.103709,0.104542
House B,102.2,Hot,74,13,2.1942711326,1.34924,1.34,0.054666,0.05032,0.1199520257,0.0737575538,0.0674288,0.2194271133,0.134924,0.134
House C,70,Cold,74,13,2.4801892808,1.90911,1.90769,0.0566,0.05893,0.1403787133,0.108055626,0.1124201717,0.2480189281,0.190911,0.190769
House B,87.1,Normal,74,17,2.1702249035,1.28865,1.28724,0.527543,0.53457,1.1448869563,0.679818287,0.6881198868,0.2170224904,0.128865,0.128724
House B,86,Normal,74,16,2.1467121027,1.23952,1.25472,0.42499,0.41882,0.9123311765,0.5267836048,0.5255018304,0.2146712103,0.123952,0.125472
House B,62.1,Cold,74,23,2.2740805477,1.49012,1.42992,0.041392,0.03589,0.094128742,0.061679047,0.0513198288,0.2274080548,0.149012,0.142992
House B,64,Cold,74,19,2.3965564591,1.73042,1.72894,0.076781,0.07844,0.1840100015,0.132863378,0.1356180536,0.2396556459,0.173042,0.172894
House B,106,Hot,74,16,2.1649821026,1.24716,1.255,0.430906,0.423,0.9329037779,0.537408727,0.530865,0.2164982103,0.124716,0.1255
House C,72,Normal,72,24,2.5321686133,1.9795,2.0341,0.036362,0.02734,0.0920747151,0.071978579,0.055612294,0.2532168613,0.19795,0.20341
House B,57.2,Cold,72,24,2.0817478316,1.07638,1.13738,0.026455,0.0315,0.0550726389,0.0284756329,0.03582747,0.2081747832,0.107638,0.113738
House B,64,Cold,74,22,2.4049102671,1.69979,1.61219,0.045292,0.03894,0.1089231958,0.0769868887,0.0627786786,0.2404910267,0.169979,0.161219
House B,99,Hot,72,21,2.4238302533,1.7068,1.72,0.057951,0.04893,0.140463387,0.0989107668,0.0841596,0.2423830253,0.17068,0.172
House B,102.2,Hot,72,20,2.421486249,1.69817,1.691,0.059275,0.05249,0.1435335974,0.1006590268,0.08876059,0.2421486249,0.169817,0.1691
House C,96.1,Hot,72,24,2.5599978714,1.9592,2.035,0.041011,0.03375,0.1049880727,0.0803487512,0.06868125,0.2559997871,0.19592,0.2035
House C,96.1,Hot,74,24,2.6261415367,2.0899,2.127,0.041011,0.03375,0.1077006906,0.0857088889,0.07178625,0.2626141537,0.20899,0.2127
House C,102.2,Hot,74,13,2.5304632903,1.89844,1.904,0.054666,0.05032,0.1383303062,0.103780121,0.09580928,0.253046329,0.189844,0.1904
House B,60.1,Cold,72,21,2.4290144515,1.69235,1.72815,0.049864,0.04674,0.1211203766,0.0843873404,0.080773731,0.2429014452,0.169235,0.172815
House B,72,Cold,74,14,2.2511561531,1.3284,1.34508,0.05665,0.05819,0.1275279961,0.07525386,0.0782702052,0.2251156153,0.13284,0.134508
House B,82.9,Normal,74,13,2.2677650336,1.35683,1.33714,0.054117,0.05889,0.1227246403,0.0734275691,0.0787441746,0.2267765034,0.135683,0.133714
House B,77,Normal,76,20,2.3734896284,1.56321,1.55765,0.038438,0.0467,0.0912321943,0.060086666,0.072742255,0.2373489628,0.156321,0.155765
House B,106,Hot,76,16,2.2140093386,1.24339,1.253,0.430906,0.423,0.954029908,0.5357842113,0.530019,0.2214009339,0.124339,0.1253
House B,70,Cold,74,13,2.2728950935,1.35372,1.33524,0.0566,0.05893,0.1286458623,0.076620552,0.0786856932,0.2272895094,0.135372,0.133524
House C,104,Hot,74,14,2.6376141188,2.08006,2.075,0.060644,0.06516,0.1599554706,0.1261431586,0.135207,0.2637614119,0.208006,0.2075
House C,102.2,Hot,72,13,2.6108403261,2.02633,2.025,0.054666,0.05032,0.1427241973,0.1107713558,0.101898,0.2610840326,0.202633,0.2025
House C,57.2,Cold,74,24,2.616999181,2.02837,2.11397,0.026455,0.0315,0.0692327133,0.0536605284,0.066590055,0.2616999181,0.202837,0.211397
House B,105.1,Hot,72,19,2.4219166448,1.63422,1.632,0.081082,0.07174,0.1963738454,0.132505826,0.11707968,0.2421916645,0.163422,0.1632
House B,97,Hot,74,23,2.3066247812,1.4023,1.441,0.040821,0.03954,0.0941587302,0.0572432883,0.05697714,0.2306624781,0.14023,0.1441
House C,96.1,Hot,76,24,2.6474379065,2.066,2.135,0.041011,0.03375,0.108574076,0.084728726,0.07205625,0.2647437907,0.2066,0.2135
House B,105.1,Hot,76,18,2.3055191224,1.37277,1.368,0.127012,0.13459,0.2928285948,0.1743582632,0.18411912,0.2305519122,0.137277,0.1368
House B,64,Cold,76,19,2.3791766638,1.51537,1.51647,0.076781,0.07844,0.1826755634,0.116351624,0.1189519068,0.2379176664,0.151537,0.151647
House B,75,Normal,76,22,2.371973821,1.47015,1.42805,0.034404,0.03477,0.0816053873,0.0505790406,0.0496532985,0.2371973821,0.147015,0.142805
House C,70,Cold,72,13,2.6430406558,2.00995,2.02642,0.0566,0.05893,0.1495961011,0.11376317,0.1194169306,0.2643040656,0.200995,0.202642
House B,64,Cold,72,22,2.4768596511,1.66323,1.61333,0.045292,0.03894,0.1121819273,0.0753310132,0.0628230702,0.2476859651,0.166323,0.161333
House B,61,Cold,72,20,2.5045589947,1.71632,1.68864,0.037454,0.04315,0.0938057526,0.0642830493,0.072864816,0.2504558995,0.171632,0.168864
House B,99,Hot,76,22,2.3453017756,1.3647,1.419,0.043248,0.04307,0.1014296112,0.0590205456,0.06111633,0.2345301776,0.13647,0.1419
House C,57.2,Cold,72,24,2.6721587128,2.01373,2.02953,0.026455,0.0315,0.0706919587,0.0532732272,0.063930195,0.2672158713,0.201373,0.202953
House B,81,Normal,72,19,2.4876142599,1.64068,1.63482,0.080257,0.07651,0.1996484577,0.1316760548,0.1250800782,0.248761426,0.164068,0.163482
House B,86,Normal,74,18,2.381363594,1.4229,1.41312,0.125703,0.12869,0.2993445479,0.1788627987,0.1818544128,0.2381363594,0.14229,0.141312
House B,77,Normal,74,20,2.5681487634,1.78342,1.80006,0.038438,0.0467,0.0987145022,0.068551098,0.084062802,0.2568148763,0.178342,0.180006
House B,75,Normal,74,22,2.5075932368,1.64166,1.62146,0.034404,0.03477,0.0862712377,0.0564796706,0.0563781642,0.2507593237,0.164166,0.162146
House B,73.9,Normal,74,23,2.4482078994,1.50353,1.43643,0.043842,0.04409,0.1073343307,0.0659177623,0.0633321987,0.2448207899,0.150353,0.143643
House B,64,Cold,72,19,2.5191380803,1.63439,1.62483,0.076781,0.07844,0.1934219409,0.1254900986,0.1274516652,0.251913808,0.163439,0.162483
House B,105.1,Hot,74,18,2.4194234589,1.43108,1.422,0.127012,0.13459,0.3072958124,0.181764333,0.19138698,0.2419423459,0.143108,0.1422
House B,102.2,Hot,76,20,2.4909984117,1.55911,1.553,0.059275,0.05249,0.1476539309,0.0924162453,0.08151697,0.2490998412,0.155911,0.1553
House C,70,Cold,76,13,2.6866180416,1.94299,1.95629,0.0566,0.05893,0.1520625812,0.109973234,0.1152841697,0.2686618042,0.194299,0.195629
House B,81,Normal,76,19,2.4764638338,1.50833,1.52025,0.080257,0.07651,0.1987535579,0.1210540408,0.1163143275,0.2476463834,0.150833,0.152025
House C,72,Cold,72,14,2.8429013019,2.23277,2.2381,0.05665,0.05819,0.1610503588,0.1264864205,0.130235039,0.2842901302,0.223277,0.22381
House C,82.9,Normal,72,13,2.7418091789,2.01985,2.01932,0.054117,0.05889,0.1483784873,0.1093082225,0.1189177548,0.2741809179,0.201985,0.201932
House B,75,Normal,72,22,2.5050585033,1.54419,1.61719,0.034404,0.03477,0.0861840327,0.0531263128,0.0562296963,0.2505058503,0.154419,0.161719
House B,79,Normal,74,21,2.5825292851,1.682,1.7759,0.037551,0.04682,0.0969765572,0.063160782,0.083147638,0.2582529285,0.1682,0.17759
House B,99,Hot,74,22,2.5396623936,1.564,1.63,0.043248,0.04307,0.1098353192,0.067639872,0.0702041,0.2539662394,0.1564,0.163
House B,60.1,Cold,74,21,2.6718154495,1.81339,1.78529,0.049864,0.04674,0.1332274056,0.090422879,0.0834444546,0.267181545,0.181339,0.178529
House B,81,Normal,74,19,2.6397033304,1.72208,1.73817,0.080257,0.07651,0.2118546702,0.1382089746,0.1329873867,0.263970333,0.172208,0.173817
House C,72,Cold,76,14,2.8414597948,2.12505,2.1456,0.05665,0.05819,0.1609686974,0.1203840825,0.124852464,0.2841459795,0.212505,0.21456
House C,72,Normal,76,24,2.8533943687,2.14781,2.14021,0.036362,0.02734,0.103755126,0.0780986672,0.0585133414,0.2853394369,0.214781,0.214021
House C,73.9,Normal,72,23,2.9046875464,2.235,2.3169,0.043842,0.04409,0.1273473114,0.09798687,0.102152121,0.2904687546,0.2235,0.23169
House C,82.9,Normal,76,13,2.7757696056,1.9491,1.94886,0.054117,0.05889,0.1502163237,0.1054794447,0.1147683654,0.2775769606,0.19491,0.194886
House C,57.2,Cold,76,24,2.9313093152,2.24451,2.14531,0.026455,0.0315,0.0775477879,0.0593785121,0.067577265,0.2931309315,0.224451,0.214531
House B,77,Normal,72,20,2.6676819564,1.70718,1.69321,0.038438,0.0467,0.102540359,0.0656205848,0.079072907,0.2667681956,0.170718,0.169321
House C,84.9,Normal,74,14,2.8681598531,2.08671,2.0811,0.06308,0.06782,0.1809235235,0.1316296668,0.141140202,0.2868159853,0.208671,0.20811
House C,75,Normal,72,22,3.1141399792,2.57485,2.53175,0.034404,0.03477,0.1071388718,0.0885851394,0.0880289475,0.3114139979,0.257485,0.253175
House C,102.2,Hot,76,13,2.8178661053,1.95633,1.95,0.054666,0.05032,0.1540414685,0.1069447358,0.098124,0.2817866105,0.195633,0.195
House B,61,Cold,74,20,2.7326260299,1.78292,1.80709,0.037454,0.04315,0.1023477753,0.0667774857,0.0779759335,0.273262603,0.178292,0.180709
House C,73,Cold,72,16,3.1596967189,2.6369,2.66875,0.424417,0.42027,1.3410290023,1.1191451873,1.1215955625,0.3159696719,0.26369,0.266875
House B,105.1,Hot,74,19,2.7082970299,1.7263,1.733,0.081082,0.07174,0.2195941398,0.1399718566,0.12432542,0.270829703,0.17263,0.1733
House C,73,Cold,72,15,3.0945719316,2.44139,2.46221,0.137071,0.14244,0.4241760692,0.3346437687,0.3507171924,0.3094571932,0.244139,0.246221
House C,104,Hot,76,14,2.9494282716,2.14062,2.139,0.060644,0.06516,0.1788651281,0.1298157593,0.13937724,0.2949428272,0.214062,0.2139
House C,84.9,Normal,72,14,3.0015565218,2.23277,2.23137,0.06308,0.06782,0.1893381854,0.1408431316,0.1513315134,0.3001556522,0.223277,0.223137
House C,106,Hot,72,15,3.106199381,2.44094,2.446,0.119949,0.12441,0.3725855096,0.2927883121,0.30430686,0.3106199381,0.244094,0.2446
House C,104,Hot,72,14,3.0075517524,2.23322,2.228,0.060644,0.06516,0.1823899685,0.1354313937,0.14517648,0.3007551752,0.223322,0.2228
House C,64,Cold,72,22,3.1240903562,2.46343,2.52373,0.045292,0.03894,0.1414963004,0.1115736716,0.0982740462,0.3124090356,0.246343,0.252373
House B,102.2,Hot,74,20,2.7926700757,1.79341,1.796,0.059275,0.05249,0.1655355187,0.1063043778,0.09427204,0.2792670076,0.179341,0.1796
House C,72,Cold,74,14,2.9770535444,2.08792,2.07278,0.05665,0.05819,0.1686500833,0.118280668,0.1206150682,0.2977053544,0.208792,0.207278
House C,62.1,Cold,74,23,3.1831885474,2.493,2.4389,0.041392,0.03589,0.1317585404,0.103190256,0.087532121,0.3183188547,0.2493,0.24389
House D,72,Normal,72,24,3.3220615985,2.76233,2.72343,0.0261,0.02734,0.0867058077,0.072096813,0.0744585762,0.3322061599,0.276233,0.272343
House C,72,Normal,74,24,2.9893790748,2.08805,2.12285,0.036362,0.02734,0.1086998019,0.0759256741,0.058038719,0.2989379075,0.208805,0.212285
House C,99,Hot,74,22,3.3028337608,2.7069,2.738,0.043248,0.04307,0.1428409545,0.1170680112,0.11792566,0.3302833761,0.27069,0.2738
House C,61,Cold,74,20,3.393949193,2.87502,2.87769,0.037454,0.04315,0.1271169731,0.1076809991,0.1241723235,0.3393949193,0.287502,0.287769
House D,96.1,Hot,72,24,3.283243846,2.6506,2.715,0.03057,0.03375,0.1003687644,0.081028842,0.09163125,0.3283243846,0.26506,0.2715
House C,73.9,Normal,76,23,3.2349005482,2.54469,2.60499,0.043842,0.04409,0.1418245098,0.111564299,0.1148540091,0.3234900548,0.254469,0.260499
House C,73,Cold,74,15,3.1440228421,2.3542,2.36738,0.137071,0.14244,0.430954355,0.3226925482,0.3372096072,0.3144022842,0.23542,0.236738
House C,62.1,Cold,72,23,3.1087001935,2.28059,2.31709,0.041392,0.03589,0.1286753184,0.0943981813,0.0831603601,0.3108700193,0.228059,0.231709
House C,86,Normal,74,15,3.1451043522,2.35101,2.35876,0.142243,0.13435,0.4473690784,0.3344147154,0.316899406,0.3145104352,0.235101,0.235876
House C,87.1,Normal,72,17,3.3879254109,2.81075,2.80866,0.527543,0.53457,1.787276335,1.4827914873,1.5014253762,0.3387925411,0.281075,0.280866
House C,73,Cold,76,15,3.1735967582,2.37184,2.38372,0.137071,0.14244,0.4350080812,0.3251104806,0.3395370768,0.3173596758,0.237184,0.238372
House C,86,Normal,76,16,3.327859783,2.6713,2.64636,0.42499,0.41882,1.4143071292,1.135275787,1.1083484952,0.3327859783,0.26713,0.264636
House C,87.1,Normal,74,17,3.4605181069,2.93252,2.94313,0.527543,0.53457,1.8255721037,1.5470303984,1.5733090041,0.3460518107,0.293252,0.294313
House C,106,Hot,74,15,3.1825879067,2.35705,2.362,0.119949,0.12441,0.3817482368,0.2827257905,0.29385642,0.3182587907,0.235705,0.2362
House C,97,Hot,72,23,3.1709602843,2.3283,2.314,0.040821,0.03954,0.1294417698,0.0950435343,0.09149556,0.3170960284,0.23283,0.2314
House C,73.9,Normal,74,23,3.2315836578,2.43714,2.44354,0.043842,0.04409,0.1416790907,0.1068490919,0.1077356786,0.3231583658,0.243714,0.244354
House C,86,Normal,72,16,3.3389487879,2.64475,2.65884,0.42499,0.41882,1.4190198454,1.1239923025,1.1135753688,0.3338948788,0.264475,0.265884
House C,105.1,Hot,72,18,3.4375087655,2.83737,2.832,0.127012,0.13459,0.4366048633,0.3603800384,0.38115888,0.3437508765,0.283737,0.2832
House C,87.1,Normal,76,17,3.4851519143,2.9252,2.92997,0.527543,0.53457,1.8385674963,1.5431687836,1.5662740629,0.3485151914,0.29252,0.292997
House C,102.2,Hot,74,20,3.4692860067,2.87672,2.883,0.059275,0.05249,0.205641928,0.170517578,0.15132867,0.3469286007,0.287672,0.2883
House C,84.9,Normal,76,14,3.1060507343,2.13087,2.13697,0.06308,0.06782,0.1959296803,0.1344152796,0.1449293054,0.3106050734,0.213087,0.213697
House C,64,Cold,72,19,3.4616664016,2.82672,2.80796,0.076781,0.07844,0.265790208,0.2170383883,0.2202563824,0.3461666402,0.282672,0.280796
House C,86,Normal,72,18,3.4752086746,2.83406,2.8278,0.125703,0.12869,0.436844156,0.3562498442,0.363909582,0.3475208675,0.283406,0.28278
House C,77,Normal,76,20,3.6245423508,3.11453,3.10662,0.038438,0.0467,0.1393201589,0.1197163041,0.145079154,0.3624542351,0.311453,0.310662
House C,79,Normal,76,21,3.6347937346,3.12668,3.08728,0.037551,0.04682,0.1364901395,0.1174099607,0.1445464496,0.3634793735,0.312668,0.308728
House C,107.1,Hot,76,17,3.5412087607,2.93104,2.928,0.535123,0.529,1.8949822557,1.5684669179,1.548912,0.3541208761,0.293104,0.2928
House C,62.1,Cold,76,23,3.4214476164,2.66954,2.59914,0.041392,0.03589,0.1416205597,0.1104975997,0.0932831346,0.3421447616,0.266954,0.259914
House C,106,Hot,76,15,3.2761016744,2.37102,2.381,0.119949,0.12441,0.3929651197,0.284401478,0.29622021,0.3276101674,0.237102,0.2381
House C,102.2,Hot,72,20,3.4177877967,2.65212,2.651,0.059275,0.05249,0.2025893716,0.157204413,0.13915099,0.3417787797,0.265212,0.2651
House C,97,Hot,76,23,3.3621055697,2.5392,2.614,0.040821,0.03954,0.1372445115,0.1036526832,0.10335756,0.336210557,0.25392,0.2614
House C,107.1,Hot,72,17,3.4978355615,2.80695,2.813,0.535123,0.529,1.8717722592,1.5020635049,1.488077,0.3497835562,0.280695,0.2813
House C,60.1,Cold,76,21,3.60005842,3.00758,3.09358,0.049864,0.04674,0.1795133131,0.1499699691,0.1445939292,0.360005842,0.300758,0.309358
House D,72,Normal,74,24,3.4120126039,2.61917,2.69127,0.0261,0.02734,0.089053529,0.068360337,0.0735793218,0.3412012604,0.261917,0.269127
House C,71.1,Cold,72,17,3.5090570976,2.81116,2.81387,0.534748,0.5295,1.8764612648,1.5032621877,1.489944165,0.3509057098,0.281116,0.281387
House C,61,Cold,72,20,3.4375460067,2.65553,2.64262,0.037454,0.04315,0.1287498481,0.0994602206,0.114029053,0.3437546007,0.265553,0.264262
